,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,9,1,81,82,52,70
1,8,7,4,9,1,10
2,8,2,6,1,7,4
3,2,7,10,3,3,7
4,5,7,8,5,9,6
5,7,8,5,6,3,10
6,4,7,4,9,6,9
7,9,8,1,10,3,5
8,7,10,6,2,6,3
9,2,3,7,2,3,3
10,1,1,1,4,2,4
11,7,5,9,4,1,5
12,10,10,9,10,8,8
13,6,2,10,5,2,8
14,6,7,9,6,7,3
15,4,6,8,3,10,2
16,4,5,6,7,7,10
17,8,5,8,10,2,8
18,1,6,1,10,3,5
19,10,5,9,3,1,8
20,3,5,3,7,4,6
21,1,8,6,5,9,2
22,4,3,4,6,4,2
23,5,10,1,1,5,3
24,9,9,1,7,5,3
25,7,7,9,9,9,10
26,3,6,5,7,1,2
27,6,8,2,10,2,1
28,5,10,9,10,8,1
29,10,1,5,6,6,5
30,10,5,6,10,4,1
31,6,10,2,8,3,9
32,9,7,1,4,7,4
33,6,1,2,4,9,7
34,10,2,8,10,3,9
35,4,4,3,8,2,2
36,7,5,10,7,5,7
37,28,59,29,94,87,90
38,9,6,9,7,3,10
39,3,9,5,8,1,2
40,10,10,8,2,3,4
41,2,5,6,10,4,1
42,5,6,8,8,6,1
43,6,1,8,6,5,6
44,7,9,7,9,3,2
45,6,8,8,6,3,8
46,1,2,4,6,5,4
47,8,5,2,10,8,9
48,7,6,9,7,8,1
49,4,3,3,2,5,7
50,5,7,10,7,9,8
51,10,8,7,7,6,2
52,8,6,7,8,8,7
53,9,9,7,10,5,8
54,3,1,6,7,4,6
55,1,7,3,7,7,5
56,7,6,2,9,3,2
57,8,4,8,1,6,5
58,9,3,10,3,10,1
59,8,5,8,9,6,2
60,3,10,3,1,5,1
61,10,8,1,5,3,4
62,2,3,6,10,1,5
63,9,5,5,5,3,9
64,3,3,2,9,6,10
65,8,3,4,4,5,4
66,8,1,5,2,3,3
67,6,8,10,8,6,9
68,5,7,6,5,4,5
69,3,6,1,6,8,1
70,5,10,3,1,1,2
71,3,3,5,3,8,1
72,6,10,5,2,3,7
73,8,9,2,9,8,10
74,11,10,98,46,17,52
75,9,9,6,6,5,7
76,10,9,4,6,1,8
77,5,3,4,1,9,2
78,5,3,3,3,9,1
79,10,6,8,10,8,6
80,7,6,5,5,1,5
81,2,4,7,2,3,10
82,1,2,5,7,3,7
83,1,9,4,6,7,6
84,7,3,8,8,3,2
85,5,4,7,9,9,10
86,1,4,1,8,3,2
87,5,7,10,10,2,4
88,6,7,2,9,9,2
89,3,6,3,1,1,2
90,8,9,10,6,2,1
91,7,7,7,10,7,3
92,2,7,10,7,6,5
93,10,1,4,6,10,6
94,7,1,3,8,2,5
95,8,2,5,1,8,8
96,6,3,5,8,5,4
97,5,3,6,4,7,9
98,9,4,6,10,1,5
99,8,6,2,1,7,5
100,7,2,3,2,3,10
101,1,8,4,9,2,7
102,1,5,3,8,5,4
103,10,5,1,10,9,6
104,10,4,1,6,6,5
105,2,5,3,9,5,2
106,4,7,2,1,10,1
107,7,9,6,10,2,3
108,3,7,8,10,8,7
109,8,6,9,7,2,10
110,9,10,7,6,6,9
111,45,6,14,93,100,70
112,2,1,10,7,5,8
113,7,8,5,3,6,5
114,1,9,1,8,5,3
115,6,4,8,2,5,1
116,4,5,3,6,4,7
117,4,9,9,7,7,7
118,4,6,4,8,8,7
119,2,1,1,3,4,7
120,3,6,9,4,8,1
121,4,9,8,2,7,5
122,1,2,7,4,5,7
123,3,9,3,4,10,9
124,9,6,8,4,10,4
125,3,5,1,1,9,8
126,2,7,8,3,7,5
127,10,9,3,3,9,10
128,10,9,1,5,1,8
129,2,2,2,4,9,2
130,2,4,2,9,5,9
131,4,4,2,3,3,10
132,3,8,4,2,2,1
133,1,1,8,8,4,10
134,6,5,10,1,9,2
