,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,17,4,81,82,52,68
1,6,5,6,1,9,1
2,10,8,7,7,6,2
3,7,10,10,8,2,2
4,7,10,2,4,7,6
5,7,1,6,6,8,1
6,8,1,3,2,6,4
7,4,5,7,6,2,2
8,4,6,7,3,8,2
9,1,3,10,1,1,8
10,3,4,1,2,5,9
11,10,3,9,10,2,6
12,2,7,4,2,7,7
13,9,4,4,5,10,5
14,3,3,7,3,7,8
15,6,7,1,4,10,10
16,7,5,2,1,8,8
17,3,3,3,1,8,9
18,8,9,8,10,2,9
19,8,9,4,7,8,8
20,3,3,7,10,7,8
21,8,8,2,4,8,7
22,6,4,10,1,7,2
23,9,3,10,5,6,6
24,7,9,7,3,10,6
25,4,7,4,6,4,1
26,6,2,10,10,6,4
27,8,6,6,9,3,7
28,7,2,1,8,7,8
29,9,5,7,10,8,2
30,8,1,1,7,2,3
31,8,10,6,1,7,2
32,5,1,10,1,8,2
33,5,5,6,3,1,3
34,7,1,9,5,9,6
35,2,1,9,7,3,5
36,4,6,2,4,3,6
37,2,14,36,72,22,61
38,7,5,1,1,9,10
39,1,3,2,9,7,7
40,4,3,3,3,2,10
41,5,10,3,4,4,1
42,4,7,10,1,3,8
43,6,7,6,3,4,3
44,5,9,10,8,1,6
45,7,10,10,9,2,7
46,3,4,6,8,6,2
47,5,6,9,7,1,1
48,7,10,4,8,5,9
49,1,7,9,6,1,9
50,8,3,4,3,5,7
51,2,4,3,4,7,2
52,9,8,6,1,3,4
53,3,4,5,8,2,9
54,7,4,7,1,7,10
55,1,2,10,1,4,6
56,4,4,10,7,9,1
57,1,6,10,9,1,3
58,1,6,7,1,3,8
59,6,10,4,3,2,5
60,6,5,10,3,3,10
61,6,2,3,10,8,7
62,2,8,5,6,4,6
63,6,10,3,7,3,9
64,3,3,5,2,4,10
65,4,10,6,7,6,10
66,8,8,5,3,9,8
67,4,9,4,10,10,5
68,1,10,8,7,8,2
69,1,10,2,1,6,5
70,5,9,6,4,7,2
71,9,7,8,4,2,9
72,7,7,2,4,8,9
73,3,8,5,1,4,7
74,83,97,66,38,81,62
