,w_0,v_0,v_1,v_2,v_3
0,28,35,81,59,22
1,69,65,52,98,60
2,87,96,78,71,17
3,24,81,69,97,5
4,24,97,5,48,17
5,50,36,90,28,36
6,35,18,69,78,32
7,90,47,13,54,66
8,100,9,59,35,4
9,26,95,93,2,94
10,48,75,66,56,89
11,68,8,52,44,69
12,13,8,73,57,64
13,52,32,42,26,37
14,67,43,51,50,14
15,67,67,37,59,12
16,65,61,79,76,65
17,53,95,12,30,64
18,64,52,15,44,70
19,58,5,95,17,11
20,99,6,63,63,3
21,85,95,63,62,67
22,9,94,34,13,73
23,88,80,75,40,74
24,52,52,17,12,40
25,45,27,7,84,69
26,90,66,15,74,61
27,74,57,5,43,94
28,86,1,100,8,43
29,96,62,40,44,95
30,906,0,0,0,0
