,w_0,v_0,v_1,v_2,v_3
0,36,5,19,94,3
1,58,45,91,1,52
2,22,81,98,6,42
3,58,36,30,86,41
4,68,1,23,38,51
5,83,71,47,28,100
6,37,82,85,70,84
7,38,40,5,6,38
8,35,5,52,73,97
9,66,10,94,18,1
10,41,5,3,89,53
11,22,7,86,15,89
12,34,13,10,12,58
13,37,32,3,53,3
14,40,26,40,8,19
15,95,54,51,23,77
16,44,5,29,36,20
17,89,79,16,97,78
18,80,33,21,66,83
19,60,17,68,30,29
20,44,29,13,41,8
21,31,53,15,59,53
22,12,14,86,44,51
23,51,49,33,39,54
24,68,58,60,18,16
25,57,76,75,9,97
26,92,22,18,71,59
27,5,94,4,87,81
28,90,1,86,7,60
29,32,22,26,21,91
30,762,0,0,0,0
