,w_0,v_0,v_1,v_2,v_3
0,38,95,76,31,46
1,84,38,90,83,51
2,94,22,62,65,46
3,80,44,58,13,19
4,99,99,3,93,3
5,83,69,26,22,56
6,97,7,50,74,56
7,16,4,55,75,10
8,77,75,98,56,7
9,25,5,56,84,33
10,11,9,87,23,32
11,87,65,26,57,80
12,45,31,50,89,89
13,70,70,1,28,49
14,44,44,1,48,21
15,68,55,82,23,86
16,65,38,24,28,88
17,4,28,32,40,9
18,54,62,17,53,51
19,47,33,32,18,28
20,57,85,47,21,8
21,25,48,71,35,54
22,79,8,10,26,3
23,76,39,7,67,97
24,83,87,86,66,44
25,70,46,44,84,31
26,65,52,37,58,38
27,82,83,72,93,70
28,28,59,1,11,82
29,77,59,2,4,86
30,915,0,0,0,0
