,w_0,v_0,v_1,v_2,v_3
0,27,93,34,94,30
1,77,11,52,74,77
2,18,92,32,67,72
3,13,76,19,78,50
4,100,12,57,75,98
5,41,79,48,65,31
6,87,24,1,98,60
7,32,76,14,33,12
8,97,93,5,25,84
9,49,21,64,73,64
10,3,10,96,95,81
11,38,97,79,58,70
12,35,52,25,6,54
13,59,1,63,29,4
14,43,88,97,15,57
15,57,27,77,60,80
16,29,36,7,76,40
17,26,6,25,90,14
18,31,29,64,96,15
19,85,30,45,77,96
20,14,69,30,5,91
21,38,95,85,47,31
22,80,80,59,6,7
23,94,46,3,55,48
24,64,21,57,8,24
25,72,89,90,7,20
26,67,38,55,14,7
27,85,14,65,20,13
28,48,18,63,42,25
29,21,61,17,10,16
30,765,0,0,0,0
