,w_0,v_0,v_1,v_2,v_3
0,51,15,98,8,77
1,99,96,72,42,70
2,20,31,59,42,41
3,52,75,96,36,86
4,52,35,29,51,30
5,65,21,63,83,51
6,58,9,79,65,70
7,65,16,58,35,77
8,100,52,50,80,56
9,68,76,39,60,55
10,98,99,23,97,39
11,4,22,40,77,67
12,28,11,61,43,91
13,28,85,50,40,75
14,80,90,12,92,47
15,40,5,23,86,62
16,32,44,22,26,77
17,32,88,44,3,70
18,20,24,10,54,99
19,16,62,35,68,86
20,22,97,79,75,63
21,23,76,95,77,65
22,96,43,51,89,60
23,80,91,12,74,7
24,8,84,37,39,10
25,91,14,27,3,61
26,16,19,30,14,91
27,75,34,95,7,49
28,44,19,31,26,5
29,38,15,99,64,88
30,750,0,0,0,0
