,w_0,v_0,v_1,v_2,v_3
0,88,62,40,98,82
1,96,30,24,72,3
2,80,51,57,31,77
3,71,65,53,99,97
4,96,81,54,18,83
5,85,91,52,17,58
6,84,90,16,17,22
7,31,2,21,4,17
8,94,86,48,67,65
9,57,100,22,7,96
10,6,44,7,68,85
11,46,73,30,4,35
12,41,14,62,97,41
13,88,100,76,44,55
14,78,37,43,79,34
15,81,72,83,12,5
16,63,70,14,14,71
17,66,10,4,83,13
18,69,71,94,2,88
19,21,89,24,31,94
20,68,22,6,82,95
21,98,75,21,29,75
22,20,100,41,22,11
23,93,32,96,59,80
24,1,99,2,35,10
25,8,69,50,78,45
26,22,21,11,57,70
27,35,75,12,74,9
28,59,18,47,76,59
29,78,45,28,2,3
30,911,0,0,0,0
