,w_0,v_0,v_1,v_2,v_3
0,96,3,14,81,1
1,4,72,82,83,99
2,32,24,64,81,59
3,18,15,99,57,17
4,92,22,79,46,23
5,86,2,11,3,30
6,18,16,55,97,43
7,93,96,99,90,5
8,97,91,50,70,57
9,25,7,86,33,14
10,77,30,46,77,54
11,79,74,23,10,74
12,19,83,59,6,51
13,47,73,50,85,17
14,1,87,23,93,49
15,43,45,68,68,11
16,58,27,94,84,87
17,13,54,51,9,42
18,68,22,96,66,70
19,62,21,1,96,42
20,70,18,28,70,76
21,85,49,54,98,60
22,46,74,26,97,96
23,24,10,54,25,32
24,21,63,46,17,91
25,60,76,2,14,10
26,87,53,88,55,86
27,22,34,69,99,24
28,62,43,81,54,59
29,59,23,79,94,48
30,782,0,0,0,0
