,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8
0,91,21,96,10,65,82,47,41,75,15
1,49,34,92,24,80,2,9,40,50,75
2,1,66,1,14,72,93,87,78,59,60
3,22,19,39,72,63,73,17,39,27,21
4,88,30,78,4,33,43,32,51,52,69
5,46,72,8,57,37,8,35,75,22,93
6,69,84,73,32,90,100,33,95,71,83
7,74,8,24,84,51,5,23,85,52,50
8,56,50,28,60,89,74,81,10,46,17
9,90,41,6,17,38,54,65,87,8,73
10,58,91,92,100,57,12,98,64,1,97
11,94,59,73,3,4,84,88,66,2,45
12,29,30,25,59,45,66,86,92,89,99
13,83,86,44,84,7,82,42,51,4,86
14,14,79,96,80,68,83,87,75,4,30
15,1,52,63,70,39,33,3,30,23,41
16,47,40,11,74,1,21,49,60,29,61
17,78,6,94,78,65,89,42,82,95,50
18,84,92,94,19,34,42,26,14,62,9
19,42,18,40,21,41,65,48,39,22,38
20,78,19,33,41,86,31,82,72,4,48
21,66,43,55,99,95,95,11,30,80,4
22,81,84,22,3,91,74,83,66,80,4
23,80,66,44,82,1,83,57,16,14,88
24,28,82,39,40,68,32,95,32,26,53
25,37,77,100,7,9,78,88,4,9,26
26,42,76,76,19,19,29,80,27,93,83
27,45,35,31,28,72,97,99,58,71,99
28,53,4,50,64,90,6,55,85,48,28
29,61,75,25,2,18,87,50,9,70,41
30,843,0,0,0,0,0,0,0,0,0
