,w_0,v_0,v_1,v_2,v_3,v_4,v_5
0,84,27,17,42,61,51,48
1,24,85,20,8,94,78,42
2,62,15,96,79,95,37,57
3,57,85,87,77,91,35,95
4,15,16,84,94,76,53,57
5,43,3,81,16,94,88,41
6,16,7,6,50,4,40,98
7,12,3,85,89,90,30,32
8,29,70,1,90,58,71,6
9,68,32,76,83,52,35,42
10,26,53,11,55,20,56,94
11,94,36,1,36,85,55,88
12,73,22,89,3,71,37,98
13,74,77,8,91,48,94,3
14,2,47,85,22,62,61,86
15,44,29,89,72,20,42,70
16,35,36,24,34,33,39,82
17,56,34,98,44,58,26,63
18,78,40,67,89,24,59,68
19,53,91,93,94,26,39,23
20,70,43,73,26,65,51,2
21,51,86,98,25,6,40,91
22,18,36,76,59,85,18,21
23,84,37,8,70,23,29,85
24,38,67,8,73,25,81,16
25,37,92,95,22,55,44,11
26,65,88,44,94,22,11,79
27,53,11,98,80,41,62,46
28,86,12,14,4,23,57,58
29,9,26,90,79,84,82,83
30,728,0,0,0,0,0,0
