,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
0,36,5,19,94,3,13,17,74,39,81,28
1,58,45,91,1,52,53,4,55,74,7,43
2,22,81,98,6,42,51,49,33,9,84,70
3,58,36,30,86,41,22,36,71,32,58,86
4,68,1,23,38,51,99,13,73,55,52,46
5,83,71,47,28,100,15,40,43,27,21,75
6,37,82,85,70,84,62,75,11,26,93,13
7,38,40,5,6,38,99,22,98,96,88,70
8,35,5,52,73,97,19,50,57,2,74,82
9,66,10,94,18,1,65,77,14,59,17,67
10,41,5,3,89,53,70,42,34,3,18,86
11,22,7,86,15,89,25,2,69,85,27,22
12,34,13,10,12,58,35,55,72,16,24,78
13,37,32,3,53,3,41,14,11,42,10,41
14,40,26,40,8,19,40,24,81,6,49,96
15,95,54,51,23,77,83,79,50,100,44,77
16,44,5,29,36,20,8,43,36,26,65,32
17,89,79,16,97,78,12,95,48,89,32,22
18,80,33,21,66,83,77,82,54,6,65,11
19,60,17,68,30,29,90,97,8,77,51,58
20,44,29,13,41,8,11,81,91,67,60,55
21,31,53,15,59,53,27,67,64,34,17,73
22,12,14,86,44,51,33,85,59,8,72,25
23,51,49,33,39,54,20,91,9,6,5,92
24,68,58,60,18,16,16,64,50,63,100,50
25,57,76,75,9,97,34,31,6,11,47,42
26,92,22,18,71,59,96,15,15,9,95,28
27,5,94,4,87,81,49,55,64,69,52,66
28,90,1,86,7,60,92,77,7,23,37,1
29,32,22,26,21,91,18,36,47,91,56,72
30,762,0,0,0,0,0,0,0,0,0,0
