,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
0,28,35,81,59,22,6,67,48,50,42,42
1,69,65,52,98,60,58,74,40,58,11,21
2,87,96,78,71,17,3,21,60,74,87,40
3,24,81,69,97,5,99,82,19,91,16,37
4,24,97,5,48,17,6,55,54,65,48,63
5,50,36,90,28,36,79,71,2,41,72,28
6,35,18,69,78,32,16,14,57,98,99,10
7,90,47,13,54,66,97,75,84,82,16,10
8,100,9,59,35,4,39,12,34,51,68,97
9,26,95,93,2,94,5,57,61,22,21,83
10,48,75,66,56,89,45,62,44,7,34,39
11,68,8,52,44,69,3,55,96,45,36,45
12,13,8,73,57,64,87,22,33,75,84,94
13,52,32,42,26,37,20,96,66,26,18,10
14,67,43,51,50,14,65,85,39,66,57,80
15,67,67,37,59,12,54,81,80,69,44,53
16,65,61,79,76,65,88,24,47,26,95,79
17,53,95,12,30,64,62,74,81,12,70,28
18,64,52,15,44,70,1,66,5,59,60,40
19,58,5,95,17,11,27,8,36,2,35,47
20,99,6,63,63,3,89,46,54,35,4,47
21,85,95,63,62,67,91,77,62,67,23,85
22,9,94,34,13,73,62,89,57,8,7,64
23,88,80,75,40,74,65,32,91,56,53,65
24,52,52,17,12,40,100,18,17,58,95,74
25,45,27,7,84,69,4,75,51,91,96,51
26,90,66,15,74,61,52,2,62,8,73,71
27,74,57,5,43,94,81,58,49,46,50,54
28,86,1,100,8,43,46,100,16,8,95,28
29,96,62,40,44,95,93,38,34,91,47,81
30,906,0,0,0,0,0,0,0,0,0,0
