,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,94,86,72,31,14,49
1,6,4,8,10,1,2
2,5,2,8,10,1,8
3,9,5,7,5,3,6
4,9,6,3,1,7,3
5,9,8,8,5,7,9
6,7,8,8,7,3,8
7,7,4,7,7,7,3
8,6,7,5,4,6,2
9,9,4,7,5,6,8
10,3,4,6,5,6,6
11,5,3,10,2,2,3
12,8,6,7,4,5,5
13,1,1,3,5,7,5
14,10,5,9,3,9,9
15,5,5,7,2,5,10
16,8,2,10,2,8,5
17,3,1,6,1,3,3
18,9,2,9,9,9,10
19,5,9,2,5,7,1
20,9,4,6,8,10,7
21,10,6,6,1,3,4
22,6,5,1,7,1,2
23,2,9,4,9,6,3
24,5,1,10,8,10,7
25,5,10,8,5,9,1
26,7,8,6,3,2,10
27,7,4,5,7,9,4
28,3,1,9,4,10,6
29,8,9,1,7,2,4
30,9,1,9,3,8,6
31,1,3,6,2,1,10
32,1,9,3,4,5,5
33,8,9,3,4,3,4
34,10,7,2,1,7,2
35,1,4,7,1,6,8
36,2,4,2,10,10,6
37,51,71,34,69,47,41
38,4,10,6,7,5,8
39,7,8,2,4,3,10
40,9,5,6,2,3,6
41,7,9,4,7,9,10
42,9,5,10,2,8,8
43,8,8,2,10,4,5
44,9,3,2,1,3,7
45,8,8,7,7,1,3
46,8,8,5,4,6,8
47,8,6,6,4,7,5
48,7,2,6,7,5,4
49,2,10,8,8,10,6
50,6,10,6,1,4,3
51,6,8,8,5,6,10
52,10,1,3,3,8,6
53,9,4,7,4,6,5
54,9,1,10,7,4,5
55,7,3,5,4,2,2
56,10,6,5,5,2,2
57,6,7,1,5,5,5
58,2,6,9,4,10,1
59,10,4,6,2,8,9
60,3,3,7,2,5,3
61,2,7,1,2,8,9
62,10,10,5,3,7,7
63,9,1,9,9,9,9
64,6,6,4,3,1,8
65,5,7,9,6,10,4
66,9,1,5,5,10,7
67,8,9,5,4,5,10
68,8,2,6,6,6,6
69,7,2,6,2,9,4
70,8,2,3,9,10,3
71,9,6,8,7,3,7
72,8,2,6,10,8,6
73,7,2,5,5,10,4
74,25,28,46,35,83,29
75,1,6,9,3,1,2
76,5,9,3,6,2,8
77,7,9,1,3,2,8
78,6,4,7,10,6,10
79,8,5,3,2,8,2
80,9,8,9,7,10,3
81,3,4,10,10,8,2
82,8,9,4,5,4,4
83,7,10,2,8,5,1
84,4,5,1,10,9,10
85,8,3,10,5,10,2
86,1,6,7,2,6,2
87,5,3,10,9,10,8
88,1,5,7,7,2,8
89,5,3,1,8,3,4
90,1,7,4,9,4,1
91,9,10,4,8,8,4
92,4,4,10,1,1,6
93,4,7,2,1,3,6
94,1,9,1,4,5,10
95,7,8,5,8,8,6
96,3,2,4,3,2,7
97,2,8,4,3,10,6
98,7,2,4,2,4,5
99,9,3,4,2,5,9
100,8,3,2,6,7,8
101,8,3,5,3,5,10
102,8,5,4,8,2,7
103,4,7,10,2,10,3
104,3,9,2,3,7,5
105,1,4,4,1,4,3
106,9,1,10,6,8,6
107,7,8,4,3,1,7
108,4,8,1,3,10,4
109,1,1,4,8,1,4
110,2,3,4,3,5,2
111,73,28,32,49,38,5
112,7,8,5,2,4,1
113,3,7,8,6,3,1
114,1,7,6,3,8,5
115,3,3,9,4,5,8
116,8,4,4,1,6,9
117,5,9,4,1,9,3
118,6,6,4,8,1,5
119,8,8,3,10,4,6
120,1,10,4,5,7,8
121,9,10,9,4,8,9
122,1,2,9,10,4,5
123,10,8,10,5,5,2
124,1,6,4,1,5,7
125,5,3,2,3,7,1
126,3,4,6,4,6,2
127,8,1,5,5,2,9
128,8,10,2,4,1,4
129,9,4,5,4,7,4
130,10,8,8,5,9,10
131,7,3,8,7,3,6
132,10,6,4,9,9,7
133,3,7,10,9,8,6
134,8,5,3,6,9,7
135,9,6,3,8,9,4
136,5,8,2,2,2,2
137,4,3,5,1,8,10
138,2,4,6,10,5,10
139,3,2,2,3,9,7
140,2,1,9,10,1,8
141,4,6,5,6,2,2
142,1,5,6,6,2,5
143,2,1,6,5,5,2
144,2,10,5,10,6,7
145,6,4,5,10,9,3
146,9,9,6,2,2,8
147,2,5,8,6,8,4
148,73,16,49,36,10,59
149,5,3,4,3,1,4
150,5,4,4,6,10,3
151,8,3,3,5,10,1
152,4,5,8,7,4,2
153,6,2,5,6,7,9
154,6,7,4,6,2,9
155,7,2,2,10,6,5
156,9,7,4,2,2,5
157,3,5,3,7,7,5
158,10,6,8,6,3,2
159,3,2,8,9,1,6
160,4,10,1,10,1,4
161,9,8,1,1,3,2
162,2,5,1,2,2,6
163,9,4,6,1,1,1
164,1,3,1,8,10,8
165,4,4,7,10,3,8
166,8,8,5,7,5,7
167,4,2,10,10,10,1
168,10,6,1,2,5,2
169,8,10,5,8,7,6
170,5,6,2,7,2,5
171,1,8,4,9,6,7
172,7,3,1,8,1,9
173,9,2,9,6,9,1
174,6,10,5,1,8,3
175,10,2,1,9,7,7
176,9,7,8,5,1,7
177,5,10,9,10,4,2
178,1,8,10,7,6,1
179,3,3,10,7,6,7
180,1,5,6,10,6,2
181,1,6,10,2,6,3
182,8,4,6,1,10,8
183,3,9,8,8,8,3
184,6,9,8,4,8,5
