,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,67,95,41,19,98,81
1,4,9,4,8,10,4
2,9,9,7,3,2,8
3,4,5,3,4,7,10
4,10,8,7,9,8,10
5,10,4,6,6,3,7
6,8,4,2,1,6,9
7,1,8,1,5,8,1
8,5,10,5,8,10,8
9,6,7,7,7,10,4
10,1,10,3,8,9,1
11,7,9,8,3,5,2
12,4,7,2,2,1,4
13,10,4,6,10,7,10
14,10,8,8,7,4,10
15,10,8,6,6,3,7
16,1,9,8,9,5,4
17,1,4,2,1,8,7
18,1,8,8,8,6,6
19,2,8,8,9,10,5
20,3,2,3,6,6,6
21,3,8,5,10,1,2
22,6,1,4,10,3,7
23,10,10,1,5,8,1
24,2,2,4,4,8,9
25,4,6,3,7,1,6
26,2,4,7,7,9,1
27,7,4,1,3,5,3
28,8,10,10,7,5,9
29,1,5,7,5,5,5
30,2,3,4,10,4,10
31,8,8,2,8,2,2
32,4,7,10,4,9,8
33,2,9,7,6,5,4
34,1,3,6,1,5,5
35,10,10,8,1,7,3
36,6,10,2,3,2,3
37,86,84,82,24,50,43
38,5,7,3,9,4,7
39,5,10,3,3,7,10
40,10,2,9,5,7,10
41,1,1,3,3,10,7
42,2,6,10,10,3,2
43,4,1,2,1,3,7
44,8,5,3,1,6,9
45,2,4,10,4,9,6
46,7,4,4,4,2,5
47,3,9,7,2,9,7
48,9,3,3,2,8,5
49,1,6,1,1,10,5
50,10,9,9,6,6,2
51,5,1,2,6,2,3
52,10,6,1,4,6,9
53,9,7,7,9,3,5
54,5,5,7,7,5,9
55,9,5,1,7,6,7
56,6,5,9,2,9,4
57,2,9,10,7,3,2
58,7,4,3,3,6,6
59,10,2,9,7,10,7
60,4,6,6,5,9,6
61,4,6,7,2,1,9
62,3,10,6,7,5,2
63,5,1,7,2,2,3
64,6,3,8,6,1,4
65,1,8,6,3,4,10
66,6,5,8,1,6,10
67,2,3,4,3,3,7
68,2,3,1,3,3,1
69,1,10,1,6,2,8
70,4,1,5,1,9,9
71,1,5,6,9,5,4
72,3,2,6,5,7,1
73,2,5,5,3,1,4
74,88,30,41,30,98,64
75,8,5,1,9,2,1
76,4,5,10,2,2,10
77,2,5,2,5,5,8
78,10,8,10,10,10,1
79,10,10,6,3,4,10
80,5,9,8,1,10,1
81,2,9,5,8,1,7
82,2,3,3,5,10,10
83,9,8,3,2,1,3
84,8,8,8,6,10,7
85,7,7,9,8,2,5
86,1,8,8,4,5,8
87,10,8,5,2,5,3
88,7,2,2,8,5,6
89,4,1,9,3,9,9
90,2,2,9,4,7,6
91,3,5,5,8,7,5
92,6,7,8,6,1,3
93,3,5,1,1,7,2
94,2,5,9,2,10,8
95,4,3,6,9,7,4
96,7,6,4,10,6,10
97,2,5,9,2,10,9
98,4,8,10,8,4,4
99,6,6,3,9,10,3
100,3,3,9,1,10,3
101,3,3,1,2,2,4
102,4,4,4,1,9,7
103,10,3,10,4,5,6
104,3,10,2,6,6,3
105,2,4,4,1,3,3
106,6,2,7,2,8,2
107,9,3,1,5,7,2
108,7,6,7,5,4,9
109,3,10,6,3,5,6
110,2,4,5,3,1,1
111,76,31,33,15,55,55
112,4,1,10,9,3,10
113,1,5,6,4,2,6
114,7,1,7,10,6,4
115,10,2,3,2,7,10
116,3,8,2,7,3,4
117,1,2,2,7,1,1
118,5,6,9,3,10,10
119,10,9,7,3,3,3
120,4,5,2,4,10,10
121,5,4,3,4,7,4
122,4,7,3,8,9,4
123,3,8,1,1,7,7
124,10,7,10,4,2,1
125,8,10,5,8,10,6
126,2,7,4,8,4,2
127,10,10,5,7,9,2
128,8,1,10,5,10,1
129,7,8,7,5,1,4
130,4,6,4,6,7,9
131,9,7,8,8,4,2
132,6,9,2,10,4,8
133,7,5,4,3,4,10
134,9,4,3,10,4,1
135,4,2,5,2,5,9
136,10,7,3,3,4,10
137,4,5,10,8,5,9
138,5,8,4,10,2,6
139,1,6,3,4,3,3
140,6,6,5,2,8,9
141,7,2,10,1,1,7
142,6,8,1,1,9,8
143,2,5,3,1,9,10
144,7,1,1,2,3,5
145,1,10,4,9,8,1
146,3,3,2,6,9,8
147,1,6,9,2,1,4
148,50,28,23,2,43,98
149,9,9,3,5,6,2
150,7,6,7,8,4,2
151,9,2,4,9,8,9
152,5,2,7,8,6,2
153,9,1,6,10,1,2
154,5,8,6,1,4,8
155,2,9,5,9,5,2
156,10,1,9,6,4,2
157,4,1,8,3,6,10
158,8,1,1,2,6,8
159,7,7,5,8,1,1
160,2,9,5,3,9,5
161,1,5,5,1,8,7
162,1,6,3,8,8,2
163,9,4,9,2,4,8
164,6,2,3,8,5,6
165,8,9,8,5,5,8
166,10,9,7,6,1,5
167,10,5,4,6,4,8
168,1,7,6,4,1,8
169,6,10,2,9,7,8
170,4,4,8,5,4,2
171,10,10,3,6,10,10
172,9,7,7,4,5,6
173,5,9,10,7,2,10
174,2,4,1,1,7,9
175,10,2,3,9,6,10
176,9,1,1,4,4,7
177,4,9,3,3,2,2
178,4,3,9,10,3,3
179,2,2,10,5,10,5
180,7,7,3,1,5,4
181,5,5,5,3,4,9
182,2,6,4,7,7,5
183,9,9,1,8,8,6
184,6,1,8,9,5,6
