,w_0,v_0,v_1,v_2,v_3,v_4
0,84,27,17,42,61,51
1,24,85,20,8,94,78
2,62,15,96,79,95,37
3,57,85,87,77,91,35
4,15,16,84,94,76,53
5,43,3,81,16,94,88
6,16,7,6,50,4,40
7,12,3,85,89,90,30
8,29,70,1,90,58,71
9,68,32,76,83,52,35
10,26,53,11,55,20,56
11,94,36,1,36,85,55
12,73,22,89,3,71,37
13,74,77,8,91,48,94
14,2,47,85,22,62,61
15,44,29,89,72,20,42
16,35,36,24,34,33,39
17,56,34,98,44,58,26
18,78,40,67,89,24,59
19,53,91,93,94,26,39
20,70,43,73,26,65,51
21,51,86,98,25,6,40
22,18,36,76,59,85,18
23,84,37,8,70,23,29
24,38,67,8,73,25,81
25,37,92,95,22,55,44
26,65,88,44,94,22,11
27,53,11,98,80,41,62
28,86,12,14,4,23,57
29,9,26,90,79,84,82
30,728,0,0,0,0,0
