,w_0,v_0,v_1,v_2,v_3,v_4
0,91,21,96,10,65,82
1,49,34,92,24,80,2
2,1,66,1,14,72,93
3,22,19,39,72,63,73
4,88,30,78,4,33,43
5,46,72,8,57,37,8
6,69,84,73,32,90,100
7,74,8,24,84,51,5
8,56,50,28,60,89,74
9,90,41,6,17,38,54
10,58,91,92,100,57,12
11,94,59,73,3,4,84
12,29,30,25,59,45,66
13,83,86,44,84,7,82
14,14,79,96,80,68,83
15,1,52,63,70,39,33
16,47,40,11,74,1,21
17,78,6,94,78,65,89
18,84,92,94,19,34,42
19,42,18,40,21,41,65
20,78,19,33,41,86,31
21,66,43,55,99,95,95
22,81,84,22,3,91,74
23,80,66,44,82,1,83
24,28,82,39,40,68,32
25,37,77,100,7,9,78
26,42,76,76,19,19,29
27,45,35,31,28,72,97
28,53,4,50,64,90,6
29,61,75,25,2,18,87
30,843,0,0,0,0,0
