,w_0,v_0,v_1,v_2,v_3,v_4
0,88,62,40,98,82,37
1,96,30,24,72,3,25
2,80,51,57,31,77,6
3,71,65,53,99,97,74
4,96,81,54,18,83,4
5,85,91,52,17,58,42
6,84,90,16,17,22,93
7,31,2,21,4,17,28
8,94,86,48,67,65,40
9,57,100,22,7,96,26
10,6,44,7,68,85,86
11,46,73,30,4,35,78
12,41,14,62,97,41,81
13,88,100,76,44,55,48
14,78,37,43,79,34,66
15,81,72,83,12,5,48
16,63,70,14,14,71,1
17,66,10,4,83,13,42
18,69,71,94,2,88,53
19,21,89,24,31,94,100
20,68,22,6,82,95,22
21,98,75,21,29,75,67
22,20,100,41,22,11,62
23,93,32,96,59,80,70
24,1,99,2,35,10,47
25,8,69,50,78,45,4
26,22,21,11,57,70,63
27,35,75,12,74,9,10
28,59,18,47,76,59,99
29,78,45,28,2,3,13
30,911,0,0,0,0,0
