,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,2,25,54,16,50,69
1,7,4,2,3,9,5
2,3,10,1,9,3,8
3,5,1,6,1,6,3
4,7,6,6,7,5,4
5,5,6,6,8,10,6
6,6,10,5,7,1,4
7,9,10,3,2,7,3
8,3,5,3,4,4,4
9,7,7,8,6,2,4
10,10,5,8,9,1,2
11,4,6,5,10,3,3
12,5,4,10,1,6,1
13,9,3,3,6,10,1
14,5,6,1,9,5,3
15,6,7,6,4,4,6
16,1,4,9,1,6,8
17,8,10,8,9,3,3
18,8,4,7,1,6,3
19,6,2,4,7,1,8
20,9,10,2,6,2,3
21,10,3,10,9,9,2
22,2,1,9,5,10,8
23,6,3,7,4,6,9
24,3,5,7,7,3,5
25,4,2,7,2,10,5
26,10,10,8,4,1,1
27,10,9,8,8,3,10
28,10,5,1,1,3,10
29,1,5,9,8,6,9
30,2,3,10,8,9,1
31,10,1,4,10,9,5
32,8,8,2,5,3,1
33,1,10,1,1,3,9
34,8,1,5,4,8,8
35,9,8,6,4,6,10
36,6,9,5,2,4,5
37,9,1,33,32,59,80
38,8,2,9,5,9,2
39,4,9,1,6,5,1
40,2,4,2,10,5,8
41,1,6,9,9,6,6
42,6,7,6,8,9,3
43,4,2,5,1,4,9
44,2,5,9,9,10,4
45,5,7,2,4,5,2
46,4,7,9,10,2,10
47,8,10,10,8,3,6
48,1,7,1,2,2,6
49,3,8,9,6,6,8
50,9,4,10,9,4,9
51,5,7,6,1,5,2
52,8,9,4,9,5,5
53,5,6,5,3,5,2
54,5,4,7,1,2,5
55,5,1,8,1,5,3
56,2,5,9,7,6,1
57,9,7,5,3,8,6
58,7,6,5,1,2,6
59,6,1,9,2,10,5
60,7,10,9,2,8,8
61,5,5,2,10,6,9
62,1,2,9,1,10,1
63,3,5,8,10,8,6
64,1,7,2,6,6,6
65,6,1,7,7,4,7
66,2,4,7,2,7,9
67,8,7,9,3,3,2
68,7,6,8,5,9,10
69,10,6,5,10,1,1
70,3,6,8,5,10,10
71,9,1,6,9,4,2
72,7,3,6,1,1,9
73,5,1,7,3,6,4
74,99,10,96,91,19,12
75,1,1,9,7,9,3
76,6,5,2,5,5,8
77,5,10,1,5,2,6
78,2,7,3,4,10,7
79,8,6,7,8,1,8
80,3,1,6,7,10,10
81,9,7,7,3,5,7
82,7,10,9,10,7,10
83,3,1,4,5,3,5
84,8,10,1,4,3,2
85,9,6,7,9,2,9
86,2,7,10,2,1,6
87,10,1,10,9,5,1
88,8,7,8,1,9,5
89,7,4,5,5,2,9
90,5,2,9,8,8,6
91,9,3,5,9,4,4
92,6,9,7,7,2,2
93,10,8,3,8,2,4
94,10,3,6,6,4,8
95,9,8,10,1,5,8
96,4,7,3,6,1,3
97,3,10,5,10,3,4
98,2,4,8,8,8,10
99,7,9,7,3,1,6
100,2,1,5,4,3,5
101,9,7,2,6,4,3
102,3,7,2,4,5,6
103,10,3,8,4,9,10
104,9,1,1,10,3,5
105,1,7,9,3,10,3
106,1,4,3,7,8,5
107,2,4,8,1,3,8
108,9,1,7,6,5,6
109,5,8,10,7,4,3
110,1,2,3,2,1,5
