,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,67,95,41,19,98,81
1,4,9,4,8,10,4
2,9,9,7,3,2,8
3,4,5,3,4,7,10
4,10,8,7,9,8,10
5,10,4,6,6,3,7
6,8,4,2,1,6,9
7,1,8,1,5,8,1
8,5,10,5,8,10,8
9,6,7,7,7,10,4
10,1,10,3,8,9,1
11,7,9,8,3,5,2
12,4,7,2,2,1,4
13,10,4,6,10,7,10
14,10,8,8,7,4,10
15,10,8,6,6,3,7
16,1,9,8,9,5,4
17,1,4,2,1,8,7
18,1,8,8,8,6,6
19,2,8,8,9,10,5
20,3,2,3,6,6,6
21,3,8,5,10,1,2
22,6,1,4,10,3,7
23,10,10,1,5,8,1
24,2,2,4,4,8,9
25,4,6,3,7,1,6
26,2,4,7,7,9,1
27,7,4,1,3,5,3
28,8,10,10,7,5,9
29,1,5,7,5,5,5
30,2,3,4,10,4,10
31,8,8,2,8,2,2
32,4,7,10,4,9,8
33,2,9,7,6,5,4
34,1,3,6,1,5,5
35,10,10,8,1,7,3
36,6,10,2,3,2,3
37,86,84,82,24,50,43
38,5,7,3,9,4,7
39,5,10,3,3,7,10
40,10,2,9,5,7,10
41,1,1,3,3,10,7
42,2,6,10,10,3,2
43,4,1,2,1,3,7
44,8,5,3,1,6,9
45,2,4,10,4,9,6
46,7,4,4,4,2,5
47,3,9,7,2,9,7
48,9,3,3,2,8,5
49,1,6,1,1,10,5
50,10,9,9,6,6,2
51,5,1,2,6,2,3
52,10,6,1,4,6,9
53,9,7,7,9,3,5
54,5,5,7,7,5,9
55,9,5,1,7,6,7
56,6,5,9,2,9,4
57,2,9,10,7,3,2
58,7,4,3,3,6,6
59,10,2,9,7,10,7
60,4,6,6,5,9,6
61,4,6,7,2,1,9
62,3,10,6,7,5,2
63,5,1,7,2,2,3
64,6,3,8,6,1,4
65,1,8,6,3,4,10
66,6,5,8,1,6,10
67,2,3,4,3,3,7
68,2,3,1,3,3,1
69,1,10,1,6,2,8
70,4,1,5,1,9,9
71,1,5,6,9,5,4
72,3,2,6,5,7,1
73,2,5,5,3,1,4
74,88,30,41,30,98,64
75,8,5,1,9,2,1
76,4,5,10,2,2,10
77,2,5,2,5,5,8
78,10,8,10,10,10,1
79,10,10,6,3,4,10
80,5,9,8,1,10,1
81,2,9,5,8,1,7
82,2,3,3,5,10,10
83,9,8,3,2,1,3
84,8,8,8,6,10,7
85,7,7,9,8,2,5
86,1,8,8,4,5,8
87,10,8,5,2,5,3
88,7,2,2,8,5,6
89,4,1,9,3,9,9
90,2,2,9,4,7,6
91,3,5,5,8,7,5
92,6,7,8,6,1,3
93,3,5,1,1,7,2
94,2,5,9,2,10,8
95,4,3,6,9,7,4
96,7,6,4,10,6,10
97,2,5,9,2,10,9
98,4,8,10,8,4,4
99,6,6,3,9,10,3
100,3,3,9,1,10,3
101,3,3,1,2,2,4
102,4,4,4,1,9,7
103,10,3,10,4,5,6
104,3,10,2,6,6,3
105,2,4,4,1,3,3
106,6,2,7,2,8,2
107,9,3,1,5,7,2
108,7,6,7,5,4,9
109,3,10,6,3,5,6
110,2,4,5,3,1,1
