,row,col,cost,specie 0,specie 1,specie 2,specie 3,specie 4,specie 5,specie 6,specie 7,specie 8,specie 9,specie 10,specie 11,specie 12,specie 13,specie 14
0,0,0,10,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
1,0,1,12,2,0,0,0,6,0,0,0,0,0,0,0,3,0,0
2,0,2,10,2,0,0,0,3,0,6,0,0,0,0,0,1,0,0
3,0,3,6,7,0,0,0,2,0,3,0,0,0,0,0,2,0,0
4,0,4,8,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0
5,0,5,10,5,0,0,0,0,1,0,0,5,0,2,0,0,0,0
6,0,6,8,1,1,0,1,0,1,3,0,4,1,4,1,0,1,0
7,0,7,3,0,8,0,6,0,4,0,0,7,0,2,0,0,0,0
8,0,8,3,0,11,0,9,0,1,0,0,2,0,1,1,0,0,0
9,0,9,3,0,4,0,5,2,0,0,0,3,3,0,0,0,0,0
10,1,0,8,3,6,0,0,0,0,1,0,0,0,0,0,4,0,0
11,1,1,10,3,1,0,0,3,0,0,0,0,0,0,0,5,0,1
12,1,2,8,1,0,0,0,0,0,3,0,0,0,0,0,4,0,1
13,1,3,6,3,0,0,0,0,0,1,0,1,1,1,0,2,1,0
14,1,4,10,1,0,0,0,0,0,3,0,3,1,0,0,1,1,0
15,1,5,12,3,0,0,0,0,3,0,0,11,2,0,0,0,0,0
16,1,6,10,0,4,0,0,0,2,0,0,5,1,1,1,0,1,1
17,1,7,6,0,2,0,6,0,5,0,0,4,3,5,4,0,0,0
18,1,8,5,1,9,0,2,0,2,0,0,9,2,5,2,0,1,0
19,1,9,3,3,9,0,9,1,0,0,0,2,1,1,1,1,0,0
20,2,0,3,2,3,0,0,1,0,1,0,0,0,0,0,1,0,1
21,2,1,6,3,3,0,0,2,0,2,0,0,1,1,0,7,0,5
22,2,2,5,2,0,0,0,0,0,2,0,0,0,1,0,4,0,3
23,2,3,7,2,0,0,1,0,0,1,0,4,2,0,1,3,0,2
24,2,4,8,0,0,0,0,0,2,0,0,7,3,1,0,0,0,1
25,2,5,10,0,0,0,1,0,4,0,0,8,4,3,1,0,2,1
26,2,6,8,0,1,0,0,0,4,0,0,6,5,3,2,0,1,0
27,2,7,5,0,4,0,2,0,4,1,0,4,4,10,4,0,2,1
28,2,8,5,0,5,0,7,0,2,0,2,2,4,1,6,0,0,0
29,2,9,5,3,10,0,5,0,0,0,2,0,1,0,2,0,0,0
30,3,0,4,2,2,0,0,2,0,4,0,0,0,0,0,0,0,9
31,3,1,5,4,0,0,0,1,0,6,0,0,0,0,2,4,0,7
32,3,2,7,4,0,1,0,0,0,6,0,2,0,4,4,5,0,8
33,3,3,10,2,0,4,0,0,0,2,0,2,5,3,4,2,1,5
34,3,4,10,0,0,1,0,0,0,0,0,11,5,2,2,0,3,4
35,3,5,10,0,0,0,0,0,0,0,0,2,3,0,4,0,4,2
36,3,6,7,0,0,0,2,0,2,0,1,4,2,2,4,0,11,1
37,3,7,5,0,1,0,1,1,3,0,3,0,5,8,4,0,0,1
38,3,8,5,1,1,0,6,1,2,0,5,0,7,1,2,0,1,2
39,3,9,5,3,2,0,3,1,2,2,1,0,2,0,2,0,0,4
40,4,0,8,2,0,0,0,5,0,0,0,0,0,1,1,0,0,8
41,4,1,9,2,0,4,0,1,0,5,0,1,0,3,2,0,0,6
42,4,2,8,2,0,5,0,1,0,1,0,1,1,5,4,2,1,8
43,4,3,10,0,0,6,0,0,0,4,0,3,2,2,7,1,3,3
44,4,4,12,0,0,4,0,0,0,0,0,2,1,3,8,0,6,5
45,4,5,10,0,0,0,0,2,0,0,0,2,3,0,6,1,5,6
46,4,6,8,0,0,0,0,2,0,0,3,1,4,0,3,0,6,2
