,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6
0,96,3,14,81,1,17,13,30
1,4,72,82,83,99,92,65,19
2,32,24,64,81,59,22,6,5
3,18,15,99,57,17,59,19,92
4,92,22,79,46,23,100,24,76
5,86,2,11,3,30,63,13,14
6,18,16,55,97,43,81,16,5
7,93,96,99,90,5,91,77,95
8,97,91,50,70,57,25,4,28
9,25,7,86,33,14,7,57,63
10,77,30,46,77,54,75,17,31
11,79,74,23,10,74,36,91,1
12,19,83,59,6,51,19,70,96
13,47,73,50,85,17,68,35,75
14,1,87,23,93,49,31,65,18
15,43,45,68,68,11,85,12,76
16,58,27,94,84,87,71,23,34
17,13,54,51,9,42,90,58,59
18,68,22,96,66,70,28,87,3
19,62,21,1,96,42,39,21,95
20,70,18,28,70,76,74,34,65
21,85,49,54,98,60,18,42,93
22,46,74,26,97,96,67,92,51
23,24,10,54,25,32,45,97,61
24,21,63,46,17,91,57,45,84
25,60,76,2,14,10,42,68,94
26,87,53,88,55,86,84,47,7
27,22,34,69,99,24,27,86,50
28,62,43,81,54,59,57,19,64
29,59,23,79,94,48,83,14,12
30,782,0,0,0,0,0,0,0
