,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6
0,27,93,34,94,30,52,62,85
1,77,11,52,74,77,50,6,83
2,18,92,32,67,72,96,36,56
3,13,76,19,78,50,89,71,4
4,100,12,57,75,98,49,98,69
5,41,79,48,65,31,22,60,91
6,87,24,1,98,60,53,94,33
7,32,76,14,33,12,7,75,49
8,97,93,5,25,84,92,67,81
9,49,21,64,73,64,44,68,52
10,3,10,96,95,81,17,2,3
11,38,97,79,58,70,11,22,44
12,35,52,25,6,54,13,79,4
13,59,1,63,29,4,3,32,90
14,43,88,97,15,57,10,72,43
15,57,27,77,60,80,54,55,34
16,29,36,7,76,40,70,41,44
17,26,6,25,90,14,80,13,39
18,31,29,64,96,15,5,37,64
19,85,30,45,77,96,25,39,51
20,14,69,30,5,91,49,55,67
21,38,95,85,47,31,36,70,100
22,80,80,59,6,7,91,44,55
23,94,46,3,55,48,18,88,43
24,64,21,57,8,24,89,57,19
25,72,89,90,7,20,86,39,27
26,67,38,55,14,7,40,45,41
27,85,14,65,20,13,55,6,38
28,48,18,63,42,25,100,17,76
29,21,61,17,10,16,67,64,51
30,765,0,0,0,0,0,0,0
