,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6
0,65,26,12,77,69,64,83,75
1,97,17,93,96,54,77,80,48
2,91,63,94,18,74,85,27,80
3,69,22,33,15,4,52,18,86
4,43,34,65,32,1,12,90,31
5,27,39,9,74,28,95,52,99
6,91,1,82,32,52,79,21,43
7,78,32,77,73,8,85,76,96
8,82,95,59,70,14,39,88,75
9,93,99,39,53,26,25,88,44
10,53,41,44,72,54,11,59,42
11,74,72,9,47,56,61,28,54
12,77,36,27,1,16,37,64,71
13,83,67,83,69,12,32,23,18
14,16,60,34,52,23,74,90,65
15,68,82,10,28,80,20,24,4
16,39,70,33,84,97,53,95,24
17,66,57,45,36,82,41,89,96
18,96,79,1,26,96,56,58,27
19,57,15,28,48,53,77,14,82
20,84,87,8,97,35,78,10,36
21,6,86,7,4,70,12,77,36
22,26,13,64,50,31,17,21,95
23,28,18,60,54,30,68,46,54
24,60,77,5,79,65,51,96,57
25,49,95,30,21,53,66,1,92
26,77,77,17,58,98,10,13,90
27,43,59,95,14,88,32,13,15
28,51,12,45,65,3,65,23,97
29,18,73,96,84,89,24,86,7
30,903,0,0,0,0,0,0,0
