,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6
0,88,62,40,98,82,37,72,28
1,96,30,24,72,3,25,27,95
2,80,51,57,31,77,6,62,45
3,71,65,53,99,97,74,38,57
4,96,81,54,18,83,4,93,61
5,85,91,52,17,58,42,36,56
6,84,90,16,17,22,93,40,79
7,31,2,21,4,17,28,37,88
8,94,86,48,67,65,40,46,38
9,57,100,22,7,96,26,10,89
10,6,44,7,68,85,86,39,88
11,46,73,30,4,35,78,12,34
12,41,14,62,97,41,81,52,100
13,88,100,76,44,55,48,91,63
14,78,37,43,79,34,66,98,45
15,81,72,83,12,5,48,95,88
16,63,70,14,14,71,1,26,96
17,66,10,4,83,13,42,74,80
18,69,71,94,2,88,53,72,42
19,21,89,24,31,94,100,52,6
20,68,22,6,82,95,22,45,44
21,98,75,21,29,75,67,40,7
22,20,100,41,22,11,62,18,71
23,93,32,96,59,80,70,41,79
24,1,99,2,35,10,47,94,87
25,8,69,50,78,45,4,19,39
26,22,21,11,57,70,63,48,5
27,35,75,12,74,9,10,97,5
28,59,18,47,76,59,99,20,28
29,78,45,28,2,3,13,40,75
30,911,0,0,0,0,0,0,0
