,w_0,v_0,v_1,v_2,v_3,v_4,v_5,v_6
0,38,95,76,31,46,23,71,74
1,84,38,90,83,51,25,22,93
2,94,22,62,65,46,63,12,10
3,80,44,58,13,19,27,34,3
4,99,99,3,93,3,11,50,22
5,83,69,26,22,56,16,27,41
6,97,7,50,74,56,43,41,95
7,16,4,55,75,10,9,11,52
8,77,75,98,56,7,11,96,87
9,25,5,56,84,33,5,49,23
10,11,9,87,23,32,84,50,29
11,87,65,26,57,80,94,88,34
12,45,31,50,89,89,79,35,15
13,70,70,1,28,49,30,35,11
14,44,44,1,48,21,77,9,4
15,68,55,82,23,86,74,76,64
16,65,38,24,28,88,99,15,91
17,4,28,32,40,9,68,55,83
18,54,62,17,53,51,1,63,2
19,47,33,32,18,28,89,40,40
20,57,85,47,21,8,61,65,95
21,25,48,71,35,54,62,23,48
22,79,8,10,26,3,28,51,100
23,76,39,7,67,97,1,28,53
24,83,87,86,66,44,45,20,53
25,70,46,44,84,31,11,54,20
26,65,52,37,58,38,50,22,86
27,82,83,72,93,70,73,71,6
28,28,59,1,11,82,70,38,28
29,77,59,2,4,86,88,36,54
30,915,0,0,0,0,0,0,0
