,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,17,4,81,82,52,68
1,6,5,6,1,9,1
2,10,8,7,7,6,2
3,7,10,10,8,2,2
4,7,10,2,4,7,6
5,7,1,6,6,8,1
6,8,1,3,2,6,4
7,4,5,7,6,2,2
8,4,6,7,3,8,2
9,1,3,10,1,1,8
10,3,4,1,2,5,9
11,10,3,9,10,2,6
12,2,7,4,2,7,7
13,9,4,4,5,10,5
14,3,3,7,3,7,8
15,6,7,1,4,10,10
16,7,5,2,1,8,8
17,3,3,3,1,8,9
18,8,9,8,10,2,9
19,8,9,4,7,8,8
20,3,3,7,10,7,8
21,8,8,2,4,8,7
22,6,4,10,1,7,2
23,9,3,10,5,6,6
24,7,9,7,3,10,6
25,4,7,4,6,4,1
26,6,2,10,10,6,4
27,8,6,6,9,3,7
28,7,2,1,8,7,8
29,9,5,7,10,8,2
30,8,1,1,7,2,3
31,8,10,6,1,7,2
32,5,1,10,1,8,2
33,5,5,6,3,1,3
34,7,1,9,5,9,6
35,2,1,9,7,3,5
36,4,6,2,4,3,6
37,2,14,36,72,22,61
38,7,5,1,1,9,10
39,1,3,2,9,7,7
40,4,3,3,3,2,10
41,5,10,3,4,4,1
42,4,7,10,1,3,8
43,6,7,6,3,4,3
44,5,9,10,8,1,6
45,7,10,10,9,2,7
46,3,4,6,8,6,2
47,5,6,9,7,1,1
48,7,10,4,8,5,9
49,1,7,9,6,1,9
50,8,3,4,3,5,7
51,2,4,3,4,7,2
52,9,8,6,1,3,4
53,3,4,5,8,2,9
54,7,4,7,1,7,10
55,1,2,10,1,4,6
56,4,4,10,7,9,1
57,1,6,10,9,1,3
58,1,6,7,1,3,8
59,6,10,4,3,2,5
60,6,5,10,3,3,10
61,6,2,3,10,8,7
62,2,8,5,6,4,6
63,6,10,3,7,3,9
64,3,3,5,2,4,10
65,4,10,6,7,6,10
66,8,8,5,3,9,8
67,4,9,4,10,10,5
68,1,10,8,7,8,2
69,1,10,2,1,6,5
70,5,9,6,4,7,2
71,9,7,8,4,2,9
72,7,7,2,4,8,9
73,3,8,5,1,4,7
74,83,97,66,38,81,62
75,8,2,2,9,3,9
76,2,5,6,1,3,3
77,8,9,5,3,6,3
78,1,5,7,7,9,9
79,1,10,9,9,5,2
80,6,5,8,6,5,6
81,6,7,7,3,10,1
82,9,8,6,7,1,7
83,3,3,2,2,6,10
84,9,2,1,4,3,7
85,10,7,6,3,6,9
86,7,9,8,8,5,10
87,7,7,7,10,10,10
88,1,2,7,3,5,10
89,6,8,2,5,1,5
90,10,6,7,5,6,4
91,2,7,3,1,4,7
92,5,3,10,5,3,6
93,5,1,8,3,6,3
94,1,8,5,9,1,8
95,9,8,3,8,3,6
96,4,10,5,10,10,5
97,7,3,4,4,9,10
98,3,2,3,9,2,5
99,6,9,5,7,3,8
100,5,2,10,3,10,8
101,7,9,1,8,10,9
102,5,7,9,5,5,2
103,5,10,5,7,10,3
104,6,7,1,2,3,5
105,2,4,6,6,5,8
106,5,9,9,8,6,1
107,10,10,2,3,1,10
108,5,6,4,9,6,1
109,6,1,1,8,8,10
110,7,1,4,2,3,9
111,57,58,23,73,94,80
112,7,1,8,2,1,10
113,8,8,10,1,6,4
114,3,5,8,3,1,9
115,1,9,2,7,4,10
116,8,8,6,1,9,9
117,4,5,5,8,7,2
118,2,10,7,6,6,3
119,3,9,8,9,8,8
120,7,9,5,2,8,3
121,10,3,1,3,7,3
122,7,10,8,2,5,6
123,7,1,6,1,5,5
124,6,4,1,8,2,6
125,2,3,10,10,3,6
126,1,10,10,3,8,4
127,6,2,8,5,8,9
128,5,2,9,7,3,1
129,10,1,5,9,4,4
130,2,9,9,2,4,3
131,7,1,5,1,2,5
132,10,2,5,10,6,3
133,1,7,6,2,8,3
134,5,9,8,9,3,2
135,2,3,6,9,8,5
136,6,2,4,3,8,5
137,2,8,3,4,9,1
138,3,1,3,1,9,9
139,5,9,8,4,1,7
140,6,8,2,7,2,3
141,1,1,2,2,5,1
142,2,8,4,10,3,8
143,2,4,2,3,2,2
144,2,2,10,2,9,1
145,1,3,9,5,2,10
146,2,3,10,6,3,1
147,8,7,3,1,4,10
