,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,32,82,3,98,21,95
1,1,10,9,2,9,5
2,6,2,6,1,4,4
3,4,2,3,3,1,6
4,9,6,2,4,8,2
5,9,9,1,9,7,7
6,1,6,2,8,1,5
7,10,8,1,4,1,2
8,5,3,1,4,3,1
9,8,10,3,10,7,10
10,1,7,10,5,3,4
11,2,10,8,7,10,10
12,2,9,10,2,2,5
13,7,10,1,5,1,8
14,3,4,10,1,10,2
15,6,6,5,6,1,7
16,6,7,4,7,8,6
17,2,5,10,3,6,10
18,2,8,10,6,10,7
19,2,3,6,1,8,9
20,10,8,5,10,10,9
21,10,10,1,10,5,1
22,9,3,1,3,9,5
23,5,10,2,6,5,1
24,8,10,4,1,10,6
25,6,8,8,8,1,8
26,10,9,5,10,1,7
27,10,10,3,1,8,5
28,6,7,1,9,4,7
29,9,1,4,4,1,1
30,2,9,2,4,5,3
31,9,10,2,4,6,9
32,1,1,4,6,4,1
33,1,5,5,1,2,5
34,8,1,8,5,4,3
35,4,5,4,3,10,3
36,2,8,9,3,9,5
37,4,57,34,37,3,95
38,10,10,6,9,3,5
39,8,6,10,7,10,5
40,5,9,1,3,3,2
41,6,3,1,5,3,3
42,3,8,3,5,1,9
43,5,6,6,8,7,10
44,3,1,6,10,9,5
45,6,1,7,1,2,9
46,6,10,1,3,6,4
47,1,10,5,7,5,8
48,9,2,5,5,5,2
49,1,9,10,9,7,8
50,2,10,6,9,8,4
51,3,4,10,6,5,10
52,6,7,1,4,2,1
53,9,10,4,2,7,4
54,6,10,2,6,4,1
55,5,10,6,3,7,7
56,4,10,1,10,10,9
57,9,2,10,2,4,4
58,8,3,7,1,7,3
59,1,1,1,5,2,7
60,10,9,10,4,8,3
61,7,7,1,7,4,4
62,6,2,6,3,1,4
63,7,1,2,1,8,4
64,6,6,1,7,10,10
65,5,9,8,5,7,2
66,9,6,8,1,8,2
67,9,3,9,4,1,3
68,7,3,4,2,7,5
69,6,5,6,5,7,10
70,10,10,8,4,5,3
71,6,5,10,9,4,8
72,4,10,9,7,7,7
73,5,9,1,2,3,3
74,92,71,37,67,79,2
75,1,10,3,7,6,4
76,2,10,6,5,1,7
77,3,6,8,1,8,7
78,3,4,1,7,7,10
79,9,7,1,8,9,9
80,6,3,6,6,7,5
81,10,10,5,4,10,1
82,10,1,7,5,7,7
83,10,4,1,6,10,10
84,2,7,3,5,9,4
85,9,6,7,4,1,3
86,5,9,9,3,5,7
87,2,8,6,9,4,10
88,3,9,10,7,4,4
89,6,2,8,8,2,10
90,9,5,10,10,10,1
91,7,10,6,2,10,4
92,7,2,2,2,1,5
93,8,9,9,6,9,10
94,3,9,5,7,7,2
95,4,7,4,9,2,10
96,1,4,9,5,9,6
97,4,10,1,9,2,4
98,6,2,1,5,10,2
99,2,10,1,10,5,7
100,4,3,7,7,9,1
101,4,7,6,10,3,2
102,9,8,6,10,9,5
103,9,4,1,6,5,8
104,1,7,2,2,9,2
105,3,9,6,4,2,6
106,2,8,1,4,8,10
107,3,7,8,1,7,10
108,2,1,9,9,3,5
109,8,5,7,1,3,7
110,9,8,6,8,6,5
111,34,46,89,59,30,69
112,9,2,5,8,9,2
113,8,5,1,1,2,1
114,9,7,1,7,1,9
115,8,4,3,7,5,4
116,6,9,5,8,1,4
117,1,4,8,1,3,9
118,8,9,5,4,8,9
119,5,6,2,9,6,2
120,9,7,1,9,2,10
121,8,5,2,5,6,4
122,2,5,5,9,1,9
123,1,9,3,2,4,1
124,3,1,4,9,9,5
125,2,10,2,2,7,9
126,6,8,3,4,4,10
127,6,10,9,6,8,2
128,9,1,2,7,1,1
129,10,3,5,3,8,1
130,6,4,8,10,7,10
131,7,4,3,3,8,10
132,9,10,7,1,10,5
133,6,9,4,6,2,9
134,7,1,6,7,5,4
135,3,10,7,2,3,8
136,9,10,1,7,9,4
137,10,4,9,4,4,8
138,7,5,8,1,7,2
139,7,7,5,2,10,6
140,2,8,1,9,6,2
141,8,6,8,9,5,5
142,5,2,1,1,1,9
143,7,9,4,3,4,4
144,10,2,5,4,1,6
145,4,5,7,7,2,6
146,2,4,10,6,5,7
147,10,2,10,6,8,10
