,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,45,15,10,70,22,21
1,9,7,4,2,3,8
2,7,3,1,6,4,4
3,9,1,9,7,9,5
4,5,9,8,5,9,8
5,4,8,2,1,2,10
6,6,10,3,8,3,8
7,10,10,6,10,4,3
8,3,6,5,4,5,8
9,9,9,1,4,8,3
10,2,6,1,8,2,10
11,4,9,6,1,1,3
12,8,8,2,6,5,6
13,7,6,9,7,1,2
14,7,4,6,5,9,3
15,9,4,1,1,4,6
16,5,8,5,9,10,6
17,10,1,6,10,3,4
18,2,4,4,10,2,9
19,9,6,2,10,1,8
20,2,3,9,9,4,2
21,1,10,4,7,6,9
22,9,6,10,10,4,3
23,1,3,5,2,10,1
24,8,10,8,1,5,4
25,8,8,5,6,5,1
26,4,7,10,7,1,4
27,1,3,1,3,4,9
28,1,5,7,9,1,1
29,3,3,10,6,3,2
30,1,2,1,3,8,7
31,8,8,6,1,8,2
32,1,3,1,4,1,4
33,5,2,3,9,6,8
34,6,4,6,8,4,6
35,9,8,3,3,8,4
36,5,1,5,10,2,9
37,41,66,19,100,44,13
38,8,8,6,5,5,8
39,3,10,5,10,8,1
40,3,4,10,1,1,9
41,9,3,2,1,6,2
42,1,1,4,8,10,4
43,1,7,2,2,9,4
44,8,7,1,1,1,6
45,3,5,10,4,3,9
46,2,9,4,5,10,1
47,2,2,4,3,2,8
48,5,8,5,6,8,7
49,4,8,6,8,2,9
50,5,3,3,5,10,4
51,3,3,10,7,4,9
52,5,8,8,6,1,3
53,1,1,9,3,6,8
54,5,3,2,7,9,3
55,2,3,6,3,4,2
56,4,5,8,10,8,6
57,4,7,7,2,9,9
58,5,2,4,8,7,8
59,8,9,1,3,9,3
60,6,4,4,1,9,7
61,8,4,6,1,10,1
62,1,10,6,7,4,10
63,5,1,10,1,3,8
64,8,5,2,10,1,9
65,10,6,7,7,7,5
66,5,6,8,7,4,1
67,2,5,2,3,10,5
68,1,1,1,9,3,2
69,9,3,4,3,1,9
70,1,6,1,6,3,4
71,10,3,4,5,5,8
72,5,10,7,5,4,4
73,9,9,5,3,7,3
74,74,36,47,61,98,92
75,7,7,9,1,4,8
76,10,4,5,2,4,2
77,10,2,2,9,8,8
78,10,5,3,2,10,6
79,6,5,9,2,4,8
80,4,6,7,3,9,10
81,8,3,8,6,10,1
82,2,8,1,7,7,2
83,8,7,5,8,6,7
84,9,8,4,8,1,4
85,3,9,1,7,1,3
86,5,10,6,6,7,9
87,1,5,8,5,8,1
88,3,8,9,6,5,8
89,8,1,7,9,3,2
90,2,8,8,3,4,5
91,7,10,3,8,8,10
92,9,4,2,9,1,10
93,4,7,10,6,8,5
94,4,3,9,7,1,6
95,8,5,9,5,1,7
96,10,2,4,2,7,4
97,2,7,2,9,9,2
98,1,6,7,2,9,8
99,3,8,7,6,10,5
100,2,8,8,4,6,10
101,10,5,10,5,7,7
102,6,3,6,2,10,3
103,1,9,7,10,2,3
104,10,5,4,2,4,3
105,10,10,9,1,5,2
106,3,3,9,7,9,9
107,5,9,6,9,3,6
108,8,3,7,9,1,2
109,8,6,1,7,2,5
110,5,3,2,1,7,1
111,12,92,98,84,63,75
112,8,10,3,1,4,7
113,10,1,10,10,5,9
114,8,2,9,10,10,9
115,10,5,2,7,10,10
116,2,3,7,5,7,4
117,3,4,10,7,5,1
118,10,10,5,10,10,10
119,10,6,2,6,9,1
120,6,1,4,3,6,1
121,2,4,6,3,5,9
122,8,10,1,2,10,6
123,5,8,3,5,8,3
124,4,4,10,3,8,6
125,6,6,8,3,7,5
126,3,1,6,8,10,7
127,1,5,10,1,4,8
128,8,8,10,8,3,1
129,6,3,4,10,4,8
130,2,2,3,3,7,8
131,7,6,9,1,10,7
132,6,3,1,10,9,7
133,9,4,7,10,5,10
134,9,3,6,9,8,7
135,8,7,8,3,3,8
136,9,1,10,7,7,10
137,1,10,10,6,6,6
138,6,4,10,1,10,2
139,2,5,10,7,7,9
140,2,5,6,7,9,6
141,4,4,3,8,3,3
142,5,8,8,7,9,5
143,4,7,7,2,9,6
144,8,7,2,8,2,7
145,4,2,3,5,1,3
146,6,5,3,4,10,3
147,9,1,10,6,10,1
