,loc_0,loc_1,loc_2,loc_3,loc_4,loc_5
0,42,54,17,27,61,71
1,8,1,7,8,2,2
2,10,8,9,10,8,2
3,10,1,10,5,3,3
4,10,2,6,5,7,4
5,5,1,5,7,9,5
6,8,1,1,8,9,10
7,2,7,7,5,6,4
8,9,6,8,1,6,9
9,10,9,1,6,8,10
10,5,9,9,1,5,8
11,10,5,2,10,7,3
12,2,4,5,9,6,10
13,1,10,5,1,6,7
14,3,5,9,8,6,1
15,3,9,2,10,2,5
16,10,4,6,5,3,4
17,2,2,2,5,3,4
18,9,2,6,1,5,5
19,10,9,4,7,10,1
20,7,2,8,5,6,10
21,8,7,10,7,3,2
22,9,4,1,10,1,6
23,4,7,1,3,2,8
24,10,6,2,8,9,5
25,5,3,1,3,2,7
26,10,4,6,10,9,2
27,7,7,9,8,1,9
28,10,10,1,1,6,1
29,7,3,7,4,9,6
30,6,5,10,4,2,4
31,2,5,6,9,6,6
32,3,4,2,5,3,7
33,6,6,7,2,3,6
34,4,4,1,2,4,6
35,7,2,7,4,3,1
36,5,8,5,9,4,10
37,38,39,89,20,42,38
38,4,8,7,9,3,3
39,4,6,9,7,10,4
40,9,3,2,1,1,2
41,9,4,4,2,10,2
42,4,2,7,5,5,1
43,10,1,7,10,10,3
44,10,6,3,10,7,9
45,4,10,10,2,4,3
46,7,10,10,1,9,4
47,1,6,3,8,6,3
48,2,5,3,1,1,8
49,7,10,4,4,1,1
50,10,10,4,6,8,5
51,4,1,2,10,7,10
52,5,10,5,9,8,8
53,3,3,3,9,3,10
54,8,5,9,6,6,6
55,7,4,3,7,6,6
56,3,9,4,5,4,7
57,2,10,4,5,2,4
58,1,7,3,6,2,8
59,7,1,1,1,10,7
60,5,6,3,5,10,4
61,10,6,3,2,3,4
62,5,8,5,8,8,8
63,4,9,1,10,1,4
64,8,10,6,4,3,2
65,3,1,8,8,9,5
66,8,5,9,4,7,5
67,1,9,1,2,3,1
68,3,7,2,8,9,8
69,5,9,8,1,8,3
70,3,5,7,3,8,7
71,10,1,4,10,4,9
72,6,4,7,3,2,10
73,4,6,7,7,3,1
74,21,28,50,41,41,84
75,8,4,2,3,2,10
76,8,1,5,7,10,6
77,5,6,8,6,10,6
78,2,10,3,2,1,7
79,3,3,10,10,9,9
80,6,2,10,2,5,7
81,2,2,9,6,4,4
82,9,3,8,1,8,2
83,1,2,8,9,5,8
84,2,8,5,7,7,3
85,5,8,9,10,6,3
86,4,1,7,10,4,8
87,8,1,2,1,9,2
88,1,1,5,6,8,7
89,2,9,4,4,7,3
90,8,1,7,8,10,7
91,10,2,10,9,9,10
92,3,1,8,5,5,8
93,7,6,5,2,9,7
94,4,7,6,3,3,8
95,4,6,2,3,2,5
96,9,10,9,5,9,9
97,6,3,6,1,2,9
98,4,10,2,4,10,8
99,9,9,2,3,6,10
100,4,9,1,2,4,2
101,1,2,3,3,10,9
102,9,8,3,1,10,9
103,6,10,10,9,3,6
104,5,7,8,2,4,5
105,1,10,3,1,6,7
106,4,7,5,5,1,9
107,6,10,5,7,8,8
108,2,2,6,10,4,2
109,2,3,5,8,3,6
110,9,7,2,2,1,4
111,74,11,84,85,60,99
112,2,8,4,6,3,8
113,4,10,8,1,9,10
114,7,9,7,6,7,1
115,5,9,3,6,7,2
116,8,2,10,9,10,5
117,3,1,4,8,9,9
118,10,4,10,9,6,9
119,6,7,4,6,5,6
120,6,7,9,4,8,6
121,1,9,9,6,6,3
122,8,1,8,4,3,2
123,8,7,9,4,3,10
124,2,8,4,9,8,4
125,10,7,9,4,4,4
126,1,1,1,7,10,5
127,10,10,6,6,8,10
128,10,9,4,7,8,10
129,6,7,9,3,1,10
130,6,10,7,7,6,10
131,5,1,7,10,1,2
132,4,7,6,5,5,8
133,4,1,6,6,2,1
134,9,1,2,9,7,8
135,10,7,3,5,5,5
136,9,10,1,8,10,1
137,9,5,3,1,9,4
138,6,6,7,7,5,4
139,8,2,8,3,4,3
140,9,7,9,9,10,5
141,7,6,8,5,6,5
142,6,5,2,2,10,5
143,6,3,3,1,1,1
144,5,9,2,9,1,9
145,7,5,9,10,6,9
146,4,5,7,5,6,9
147,1,1,3,1,10,5
